pH,Dissolved Oxygen (mg/L),Turbidity (NTU),Conductivity (μS/cm),Temperature (°C),Biological Oxygen Demand (mg/L),Total Dissolved Solids (mg/L),Nitrate (mg/L),Phosphate (mg/L),Ammonia (mg/L),Quality
6.49816047538945,6.542719682496979,5.917791867767129,1049.3734630852016,28.24995777474926,1.8313375534830696,1312.4746799071304,9.179950201707099,0.6048349619967889,1.7166687887942376,Unsafe
8.802857225639665,7.260920934375193,5.327225395355348,1518.818867773929,14.61279988996779,1.5467835662921805,972.655661714967,0.6796616696701527,0.19868737257249547,4.1020182535174365,Unsafe
7.92797576724562,10.690926538819623,3.0542317312914706,1169.066883247033,18.665992359247156,6.437727556692977,1932.5471972414875,9.222679079063344,0.2614548576947098,4.972446400874291,Unsafe
7.394633936788146,6.060039474539029,9.305366716471575,258.27490791241314,26.582015921445457,9.695046902434793,516.0590568700525,1.4360622407853323,0.3695355450800344,4.2197315353525235,Unsafe
5.624074561769746,10.826847163309541,7.4110503273751185,452.60244988875525,22.052233613111998,5.524491780592516,1216.9271903979873,10.684129153929334,0.41527013538624724,1.7961003395280322,Unsafe
5.623978081344811,3.7932098787902233,13.052664388698053,516.7235496587464,28.464275965872346,1.4636370334537463,1430.3990284814229,5.912156934055865,0.49210100032898274,3.585136727723026,Unsafe
5.232334448672798,9.991185934877677,0.9655889169898446,589.9420819252052,34.03019753057149,2.9909679046971056,1668.572529756225,12.581677724370929,0.5183654576373539,2.7162248902562593,Unsafe
8.46470458309974,10.627928697492628,9.836084949549331,1174.266444705958,12.913667192879938,3.203136157741936,873.2449578132134,14.143685754450447,0.9168755275201965,3.9539371410287023,Unsafe
7.404460046972835,4.6363588755360485,11.562758738417637,1057.5349816682476,27.739192909951523,4.04071416223255,1405.1516245492148,6.314944087837573,1.024050649743822,0.8501772337665845,Unsafe
7.832290311184182,6.873118791349804,11.512555253230452,486.00407289199694,15.758603890802863,1.3924304522759137,676.0827956301373,6.962273902558818,0.6246696241714483,3.2268595039649295,Unsafe
5.08233797718321,4.4894979719729005,13.348072522885115,228.35420256580545,20.361918185189232,9.144034304481247,927.4045754874585,8.89319895709147,1.815519875642249,3.8909671893745,Unsafe
8.879639408647977,9.359437160947959,11.070989271027663,425.7211885019643,10.821568144878496,5.640075502493457,1801.6915492864584,3.037277555684953,1.1107480494445197,3.830033543492537,Unsafe
8.329770563201688,7.818129912554911,13.953245893891596,1970.3244939753463,13.397684557317474,7.038377136586981,1904.8244577288133,13.917259328342583,1.5770790867864795,4.82160572745853,Unsafe
5.849356442713105,8.717910120374889,5.323520697402926,990.2392046037974,17.994432226222493,1.6045555320550808,1465.752959161803,6.551698904870452,1.8492332865174783,0.3862157658431683,Unsafe
5.7272998688284025,4.7683827026059005,7.796536542897375,1747.9564589340137,18.549645132199622,1.4870392102328447,811.2685924747516,2.585623005148509,0.33463887800585235,1.794318908552224,Unsafe
5.733618039413735,4.9057127584717755,0.7041551176019147,1712.6296866708024,32.4896304115524,6.278209948364925,1658.1098009518616,11.46470431794137,0.8614702225941127,2.4351125507780504,Unsafe
6.216968971838151,3.373475929589157,0.6008850158977226,1071.88715917946,28.54532273166288,8.985664094537873,149.14745527829834,3.3653554494153797,0.8720886994120715,1.6178412891211982,Unsafe
7.099025726528952,5.898607816761567,3.9818359965470385,1442.7066460750327,34.30457420467603,5.7563380086359235,295.2172300249,2.2385861985706392,0.7153997783723248,1.6179686169951075,Unsafe
6.727780074568463,8.037701952003076,1.9617043585167362,466.22881978415336,24.976787758381015,8.900372553130644,1356.6100991131862,8.486793924860706,0.02772267443776348,0.9630301727806392,Unsafe
6.164916560792168,10.721414225975959,4.2730648350684275,1407.9537393611258,16.04284330228295,8.298921457497155,653.3722930131091,10.105279303844704,1.633784494478409,4.083461874823518,Unsafe
7.447411578889518,9.002347027128128,3.067127770661762,617.53070060025,18.19137574804107,1.6826840721542866,1907.6338149609078,8.586484835907253,0.23200304989226658,4.549538317484258,Unsafe
5.557975442608168,6.918566910597763,0.9135403601603995,1680.9179838328864,17.995898082299178,2.817617269471209,928.515162975379,9.882008669315711,1.9910063898643002,0.5034040619015776,Unsafe
6.168578594140873,11.57808102954724,13.684910122887716,259.07585290692884,18.16235819158129,6.919396022398082,915.7931587394363,1.8213077833853923,1.5481873989032513,0.8590046676156633,Unsafe
6.465447373174767,9.473206805182487,0.619235405138927,1568.9634784820273,26.824104327795393,4.991512442950374,1388.3510693627693,7.1926687644732,1.1642199350369637,1.2194196993720807,Unsafe
